#solverGreedy,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value,Upper bound value,
von_koch-random-55-3,0,163,5373,2645,25,428088562,18231.014382,
von_koch-random-55-3,0,163,5373,2645,30,630031982,23460.864914,
von_koch-random-55-3,1,179,6153,3026,25,537231241,20218.051322,
von_koch-random-55-3,1,179,6153,3026,30,805328884,26496.357851,
von_koch-random-55-3,2,213,8481,4170,25,723948229,17201.262211,
von_koch-random-55-3,2,213,8481,4170,30,1086335565,22439.571284,
von_koch-random-55-4,0,163,5982,2948,25,608692481,64237.937696,
von_koch-random-55-4,0,163,5982,2948,30,831688059,75560.997756,
von_koch-random-55-4,1,179,6789,3342,25,737055279,78360.897187,
von_koch-random-55-4,1,179,6789,3342,30,1033980947,92920.613021,
von_koch-random-55-4,2,213,9115,4480,25,1080435839,77870.850619,
von_koch-random-55-4,2,213,9115,4480,30,1486020147,97445.851345,
random-x-monotone-55-1337,0,158,5948,2950,25,585041625,62033.193849,
random-x-monotone-55-1337,0,158,5948,2950,30,850919924,74986.508487,
random-x-monotone-55-1337,1,172,6820,3379,25,691283717,60221.467992,
random-x-monotone-55-1337,1,172,6820,3379,30,1009789412,75130.215551,
random-x-monotone-55-1337,2,205,9073,4489,25,1032607424,59308.013700,
random-x-monotone-55-1337,2,205,9073,4489,30,1502952276,78801.555946,
von_koch-random-55-5,0,163,5896,2908,25,627785635,652776.838579,
von_koch-random-55-5,0,163,5896,2908,30,866191237,837885.623201,
von_koch-random-55-5,1,179,7008,3453,25,845000212,787648.032263,
von_koch-random-55-5,1,179,7008,3453,30,1167399619,996489.635211,
von_koch-random-55-5,2,213,9808,4831,25,1411263791,991218.283817,
von_koch-random-55-5,2,213,9808,4831,30,2013016122,1286622.413360,
von_koch-random-55-2,0,163,6496,3209,25,845380263,8748.522080,
von_koch-random-55-2,0,163,6496,3209,30,1201874007,10743.120057,
von_koch-random-55-2,1,179,7554,3729,25,1081240422,9433.101286,
von_koch-random-55-2,1,179,7554,3729,30,1553392430,11764.025195,
von_koch-random-55-2,2,213,10329,5093,25,1706269010,10560.628748,
von_koch-random-55-2,2,213,10329,5093,30,2463825505,12828.405913,
random-2-opt-50-1337,0,135,3691,1828,25,230366493,46533.973554,
random-2-opt-50-1337,0,135,3691,1828,30,334985673,60017.861689,
random-2-opt-50-1337,1,148,4300,2126,25,265669108,42146.899548,
random-2-opt-50-1337,1,148,4300,2126,30,392295592,54057.882718,
random-2-opt-50-1337,2,172,6038,2983,25,488516926,58325.090600,
random-2-opt-50-1337,2,172,6038,2983,30,730850908,71814.084427,
ic_die20-darkness-50-int-42,0,135,4845,2405,25,502602637,22670.929765,
ic_die20-darkness-50-int-42,0,135,4845,2405,30,721880336,28926.847490,
ic_die20-darkness-50-int-42,1,148,5688,2820,25,701730117,26137.406737,
ic_die20-darkness-50-int-42,1,148,5688,2820,30,998987138,32753.345843,
ic_die20-darkness-50-int-42,2,172,7400,3664,25,927290589,25587.713965,
ic_die20-darkness-50-int-42,2,172,7400,3664,30,1303516180,32516.891850,
ic_die22-edges-50-int-42,0,135,3927,1946,25,324158208,13321.089201,
ic_die22-edges-50-int-42,0,135,3927,1946,30,450086113,16314.270793,
ic_die22-edges-50-int-42,1,148,4730,2341,25,438950046,17350.653079,
ic_die22-edges-50-int-42,1,148,4730,2341,30,630525916,22575.588664,
